Frame 0, ID:1, Class:2, Speed:0 km/h
Frame 0, ID:2, Class:2, Speed:0 km/h
Frame 0, ID:3, Class:2, Speed:0 km/h
Frame 0, ID:4, Class:2, Speed:0 km/h
Frame 0, ID:5, Class:2, Speed:0 km/h
Frame 0, ID:6, Class:2, Speed:0 km/h
Frame 0, ID:7, Class:2, Speed:0 km/h
Frame 1, ID:1, Class:2, Speed:28.77 km/h
Frame 1, ID:2, Class:2, Speed:39.76 km/h
Frame 1, ID:3, Class:2, Speed:3.8 km/h
Frame 1, ID:4, Class:2, Speed:4.04 km/h
Frame 1, ID:5, Class:2, Speed:10.93 km/h
Frame 1, ID:6, Class:2, Speed:0.46 km/h
Frame 1, ID:7, Class:2, Speed:2.28 km/h
Frame 2, ID:1, Class:2, Speed:28.47 km/h
Frame 2, ID:2, Class:2, Speed:88.81 km/h
Frame 2, ID:3, Class:2, Speed:8.64 km/h
Frame 2, ID:4, Class:2, Speed:12.67 km/h
Frame 2, ID:5, Class:2, Speed:18.92 km/h
Frame 2, ID:6, Class:2, Speed:7.38 km/h
Frame 2, ID:7, Class:2, Speed:3.1 km/h
Frame 3, ID:1, Class:2, Speed:39.12 km/h
Frame 3, ID:2, Class:2, Speed:95.97 km/h
Frame 3, ID:3, Class:2, Speed:18.82 km/h
Frame 3, ID:4, Class:2, Speed:3.92 km/h
Frame 3, ID:5, Class:2, Speed:27.49 km/h
Frame 3, ID:6, Class:2, Speed:8.63 km/h
Frame 3, ID:7, Class:2, Speed:3.18 km/h
Frame 3, ID:10, Class:7, Speed:0 km/h
Frame 4, ID:1, Class:2, Speed:32.35 km/h
Frame 4, ID:2, Class:2, Speed:52.87 km/h
Frame 4, ID:3, Class:2, Speed:16.6 km/h
Frame 4, ID:4, Class:2, Speed:7.19 km/h
Frame 4, ID:5, Class:2, Speed:16.2 km/h
Frame 4, ID:6, Class:2, Speed:3.14 km/h
Frame 4, ID:7, Class:2, Speed:3.36 km/h
Frame 4, ID:10, Class:7, Speed:1.46 km/h
Frame 4, ID:13, Class:2, Speed:0 km/h
Frame 5, ID:1, Class:2, Speed:24.13 km/h
Frame 5, ID:2, Class:2, Speed:43.18 km/h
Frame 5, ID:3, Class:2, Speed:7.01 km/h
Frame 5, ID:4, Class:2, Speed:4.96 km/h
Frame 5, ID:5, Class:2, Speed:24.41 km/h
Frame 5, ID:6, Class:2, Speed:14.92 km/h
Frame 5, ID:7, Class:2, Speed:2.67 km/h
Frame 5, ID:10, Class:7, Speed:6.38 km/h
Frame 5, ID:13, Class:2, Speed:57.81 km/h
Frame 6, ID:1, Class:2, Speed:36.01 km/h
Frame 6, ID:2, Class:2, Speed:46.67 km/h
Frame 6, ID:3, Class:2, Speed:8.22 km/h
Frame 6, ID:4, Class:2, Speed:6.33 km/h
Frame 6, ID:5, Class:2, Speed:25.29 km/h
Frame 6, ID:6, Class:2, Speed:22.62 km/h
Frame 6, ID:7, Class:2, Speed:2.57 km/h
Frame 6, ID:10, Class:2, Speed:5.22 km/h
Frame 6, ID:13, Class:2, Speed:93.01 km/h
Frame 7, ID:1, Class:2, Speed:29.86 km/h
